순취득",수출,최종수요계,총수요계,총산출,수입,생산물세(수입),수입계,도소매마진,화물운임,총공급계,,
392,금속가공용 기계,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,72 ,18 ,0 ,2 ,0 ,8 ,13 ,55 ,0 ,34 ,5 ,186 ,4 ,0 ,21 ,1 ,0 ,61 ,139 ,547 ,5 ,141 ,71 ,6 ,3 ,85 ,"1,057 ",496 ,"3,117 ","1,347 ","7,118 ","2,460 ","3,708 ",924 ,"2,938 ","6,315 ","13,567 ","17,669 ","3,321 ",486 ,"1,661 ",955 ,167 ,979 ,165 ,"2,140 ",288 ,"1,012 ","5,355 ",670 ,"1,566 ",719 ,"7,407 ","1,445 ","1,049 ","6,531 ","1,899 ","1,290 ","1,320 ","1,441 ","787,162 ","7,555 ","4,032 ","3,946 ","2,624 ",212 ,"8,252 ","2,366 ",343 ,292 ,164 ,683 ,371 ,"22,126 ",597 ,0 ,0 ,0 ,127 ,648 ,707 ,438 ,165 ,57 ,280 ,265 ,558 ,50 ,0 ,2 ,0 ,199 ,6 ,694 ,"1,088 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,688 ",0 ,0 ,0 ,41 ,471 ,0 ,0 ,0 ,93 ,0 ,202 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,"955,581 ",0 ,0 ,"4,970,183 ","2,968 ","5,683 ",0 ,"2,422,684 ","7,401,518 ","8,357,099 ","6,950,764 ","1,348,054 ","58,281 ","1,406,335 ",0 ,0 ," 8,357,099 ",,
393,금형 및 주형,0 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,17 ,31 ,10 ,140 ,0 ,4 ,20 ,0 ,2 ,0 ,0 ,0 ,4 ,207 ,0 ,0 ,0 ,0 ,3 ,169 ,0 ,0 ,0 ,6 ,1 ,0 ,0 ,16 ,4 ,10 ,440 ,8 ,"2,347 ","52,506 ",403 ,"7,049 ","1,562 ",554 ,19 ,935 ,62 ,72 ,"1,664 ",151 ,9 ,133 ,"1,941 ","2,413 ","5,691 ","4,700 ","3,351 ","37,953 ","1,547 ",284 ,84 ,266 ,436 ,"8,222 ",81 ,632 ,154 ,902 ,"4,157 ",141 ,258 ,"1,176 ","2,591 ","6,124 ","3,142 ","11,833 ","1,961 ","4,076 ","1,809 ","1,330 ","3,014 ","885,879 ","3,726 ","7,206 ",893 ,92 ,"3,161 ",126 ,143 ,60 ,537 ,323 ,391 ,"1,657 ",0 ,0 ,0 ,0 ,0 ,0 ,44 ,5 ,38 ,0 ,107 ,25 ,11 ,48 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,408 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86 ,0 ,0 ,"1,083,831 ",0 ,0 ,"9,981,962 ",0 ,"-20,542 ",0 ,"3,351,008 ","13,312,428 ","14,396,259 ","14,199,901 ","189,536 ","6,822 ","196,358 ",0 ,0 ," 14,396,259 ",,
394,반도체 및 디스플레이 제조용 기계,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,953,174 ","39,665 ",0 ,"1,548 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,410,297 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,821 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"629,687 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,"8,040,193 ",0 ,0 ,"26,718,644 ",0 ,"185,879 ",0 ,"9,833,497 ","36,738,020 ","44,778,213 ","26,334,799 ","18,164,800 ","278,614 ","18,443,414 ",0 ,0 ," 44,778,213 ",,
399,기타 특수목적용기계,0 ,0 ,0 ,0 ,0 ,311 ,213 ,408 ,2 ,0 ,0 ,234 ,"33,273 ","4,495 ","8,989 ","4,448 ","14,839 ","6,480 ","31,605 ","2,246 ","2,748 ","4,249 ",78 ,270 ,"2,350 ","2,096 ","2,047 ","5,359 ","1,290 ","2,359 ",898 ,154 ,"2,346 ","4,594 ",753 ,41 ,"19,392 ",178 ,"2,223 ","1,905 ","4,041 ",380 ,"2,151 ",634 ,474 ,"1,059 ",934 ,"5,203 ","18,684 ","5,132 ","7,517 ","2,352 ",600 ,281 ,"1,824 ",793 ,13 ,"1,635 ",79 ,228 ,"1,527 ",965 ,47 ,"6,142 ",501 ,"6,583 ","8,889 ","15,319 ","4,611 ",793 ,"3,411 ",42 ,912 ,"1,048 ","3,243 ","1,593 ",929 ,"3,579 ",392 ,"3,441 ",532 ,"3,901 ","1,007 ",662 ,443 ,"1,648 ","4,123 ","1,442 ",898 ,"263,213 ","4,747 ","12,295 ","2,054,125 ","8,284 ",147 ,"5,378 ","30,085 ","1,175 ",711 ,"6,422 ","1,777 ","2,133 ","46,693 ",0 ,0 ,0 ,0 ,480 ,470 ,9 ,589 ,864 ,125 ,106 ,43 ,"1,090 ",154 ,"8,375 ",0 ,0 ,0 ,43 ,0 ,0 ,0 ,0 ,15 ,59 ,"41,408 ",0 ,0 ,0 ,0 ,0 ,45 ,33 ,"6,566 ",47 ,46 ,367 ,8 ,0 ,0 ,0 ,0 ,"69,299 ",0 ,10 ,0 ,"10,711 ","9,896 ","4,772 ",0 ,"12,373 ","29,956 ",153 ,"11,622 ","1,301 ","11,285 ",935 ,"2,200 ",235 ,197 ,966 ,68 ,"2,959,616 ","34,498 ",0 ,"9,744,970 ","107,560 ","-32,883 ",0 ,"7,524,499 ","17,378,644 ","20,338,260 ","14,474,500 ","5,653,551 ","210,209 ","5,863,760 ",0 ,0 ," 20,338,260 ",,
401,자동차 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"176,022 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"77,932 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"253,954 ","36,726,099 ",0 ,"24,391,148 ","1,812,965 ","97,209 ",0 ,"46,315,402 ","109,342,823 ","109,596,777 ","93,590,164 ","14,358,484 ","1,648,129 ","16,006,613 ",0 ,0 ," 109,596,777 ",,
402,특장차 및 트레일러,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"62,254 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,932 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"69,186 ",0 ,0 ,"949,265 ","1,890,809 ","-3,865 ",0 ,"336,837 ","3,173,046 ","3,242,232 ","2,691,768 ","529,433 ","21,031 ","550,464 ",0 ,0 ," 3,242,232 ",,
403,자동차 부품,"4,079 ","3,892 ","2,133 ","2,217 ","13,524 ","17,684 ","8,277 ","3,982 ",598 ,136 ,75 ,"30,328 ","6,095 ","3,155 ",636 ,"3,814 ","1,046 ","2,008 ","5,654 ",776 ,"1,281 ",877 ,901 ,814 ,"1,646 ","2,598 ","1,141 ","3,094 ","1,644 ","10,555 ","4,702 ","1,866 ","11,072 ","11,042 ","19,394 ",896 ,"137,334 ","9,111 ","3,663 ","8,086 ","31,796 ","1,109 ","13,363 ","1,874 ","6,877 ","51,001 ","5,192 ","14,823 ","116,107 ",237 ,"7,083 ","7,038 ","4,735 ","5,762 ","121,531 ","22,871 ",265 ,"74,596 ","3,863 ","2,630 ","4,095 ","25,615 ","6,301 ","41,970 ","38,584 ","25,913 ","107,669 ","2,888 ",541 ,185 ,872 ,222 ,"1,804 ",467 ,"5,261 ",765 ,"14,314 ","12,752 ",381 ,"11,502 ","3,507 ","16,700 ","9,236 ","3,606 ","5,490 ","134,521 ","14,674 ","8,844 ","328,082 ","2,883 ","3,282 ","5,076 ","30,744 ","35,791,818 ","397,837 ","28,505,282 ",288 ,"1,500 ",111 ,"114,966 ","6,852 ","5,491 ","2,388,153 ","12,151 ","3,610 ","6,962 ","6,739 ","227,001 ","225,786 ","7,991 ","3,568 ","4,453 ","8,427 ","4,429 ","6,310 ","1,406 ",516 ,"661,972 ",185 ,"3,316,764 ","1,895 ",887 ,"474,377 ","267,428 ","119,990 ","187,894 ","6,419 ","703,854 ","65,484 ","11,581 ","5,026 ","2,922 ","1,799 ","2,955 ","21,872 ","28,978 ","2,125 ","35,605 ","6,191 ","6,366 ","4,669 ","5,272 ",0 ,"13,085 ","29,539 ","401,217 ","97,756 ","1,302 ","1,681 ","40,867 ","415,684 ","35,785 ","16,401 ","27,456 ","363,167 ","12,199 ","129,941 ","94,617 ","60,403 ","22,991 ","35,836 ","97,554 ","7,279,046 ","21,407 ","1,563 ","84,576,979 ","537,444 ",0 ,0 ,0 ,"513,724 ",0 ,"18,304,970 ","19,356,138 ","103,933,117 ","97,423,966 ","6,340,031 ","169,120 ","6,509,151 ",0 ,0 ," 103,933,117 ",,
410,선박,0 ,0 ,0 ,0 ,0 ,0 ,"78,600 ",0 ,0 ,0 ,0 ,"41,014 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,503,802 ",0 ,0 ,0 ,0 ,0 ,"7,925 ",3 ,0 ,0 ,0 ,246 ,316 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"424,227 ",0 ,"12,413 ","2,123 ",0 ,31 ,0 ,0 ,0 ,0 ,21 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"289,793 ",0 ,0 ,0 ,41 ,"53,573 ",0 ,0 ,21 ,"163,833 ",0 ,583 ,"2,523 ",0 ,"2,242 ",35 ,0 ,0 ,0 ,120 ,"3,583,500 ",0 ,0 ,"7,345,965 ","3,272,869 ","-132,002 ",0 ,"26,377,805 ","36,864,637 ","40,448,137 ","33,822,054 ","6,624,779 ","1,304 ","6,626,083 ",0 ,0 ," 40,448,137 ",,
421,철도차량,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"24,921 ",0 ,"4,699 ",302 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,146 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"626,964 ",0 ,0 ,0 ,0 ,"17,638 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,104 ,0 ,0 ,0 ,0 ,"218,645 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"18,408 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,246 ",0 ,324 ,156 ,0 ,863 ,0 ,0 ,0 ,0 ,28 ,"926,451 ",0 ,0 ,"1,658,397 ",0 ,"41,642 ",0 ,"630,996 ","2,331,035 ","3,257,486 ","3,006,859 ","242,101 ","8,526 ","250,627 ",0 ,0 ," 3,257,486 ",,
422,항공기,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,98 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"23,354 ",17 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,169 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32 ,7 ,0 ,0 ,22 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,53 ,0 ,"1,311,954 ",0 ,0 ,0 ,"2,611 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"11,195 ",0 ,0 ,0 ,"1,634,641 ","84,961 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"113,595 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,128,607 ",0 ,273 ,"9,479 ",0 ,"1,053 ",0 ,0 ,0 ,0 ,"1,547 ","4,323,746 ",0 ,0 ,"250,121 ","3,997,614 ","95,022 ",0 ,"1,376,316 ","5,719,073 ","10,042,819 ","5,392,207 ","4,642,990 ","7,622 ","4,650,612 ",0 ,0 ," 10,042,819 ",,
429,기타 운송장비,"6,377 ","1,597 ","2,458 ",729 ,"14,430 ",882 ,345 ,"1,825 ","1,807 ",0 ,3 ,714 ,300 ,221 ,0 ,5 ,316 ,157 ,141 ,85 ,717 ,10 ,0 ,350 ,133 ,10 ,45 ,61 ,241 ,"8,994 ","2,959 ",88 ,"4,114 ","2,226 ",797 ,28 ,"63,760 ",555 ,"2,296 ","1,321 ","5,751 ",236 ,838 ,"1,657 ",850 ,"2,445 ",927 ,"4,479 ","6,467 ",287 ,"2,988 ","7,102 ",668 ,911 ,"5,131 ","12,627 ",319 ,"5,259 ",932 ,450 ,"3,618 ","1,891 ","2,091 ","6,116 ","1,424 ","10,665 ","7,672 ",217 ,254 ,99 ,329 ,17 ,252 ,117 ,575 ,98 ,756 ,"5,793 ",70 ,93 ,790 ,"4,272 ",605 ,876 ,"4,428 ","1,176 ","3,141 ","2,308 ","1,276 ",487 ,"1,670 ","12,400 ","2,684 ",392 ,749 ,307 ,222 ,765 ,269 ,"214,266 ","2,238 ","2,292 ","86,211 ","2,890 ",413 ,"61,641 ",650 ,"16,900 ","24,429 ","2,001 ",76 ,"1,214 ","1,677 ",654 ,199 ,572 ,142 ,"21,881 ",15 ,"1,457 ",958 ,27 ,"7,380 ","2,487 ","11,497 ","3,592 ","4,757 ","17,550 ","51,943 ",380 ,"3,002 ",997 ,37 ,193 ,500 ,"4,560 ",23 ,909 ,16 ,5 ,3 ,3 ,0 ,320 ,0 ,"60,770 ",0 ,0 ,4 ,"4,832 ","24,668 ","23,030 ",0 ,"10,991 ","1,800 ",992 ,"12,427 ","16,359 ","19,561 ","2,026 ","14,214 ","7,482 ","67,314 ",417 ,158 ,"1,082,387 ","806,781 ",0 ,"323,949 ","1,087,602 ","-4,782 ",0 ,"285,733 ","2,499,283 ","3,581,670 ","2,275,088 ","1,193,993 ","112,589 ","1,306,582 ",0 ,0 ," 3,581,670 ",,
431,가구,0 ,0 ,0 ,0 ,0 ,12 ,210 ,"1,926 ",0 ,0 ,0 ,14 ,16 ,88 ,0 ,0 ,20 ,105 ,845 ,29 ,4 ,11 ,0 ,0 ,367 ,0 ,7 ,273 ,1 ,5 ,242 ,0 ,8 ,18 ,0 ,0 ,117 ,0 ,15 ,12 ,68 ,3 ,0 ,0 ,11 ,26 ,21 ,23 ,"1,623 ",0 ,0 ,197 ,2 ,199 ,4 ,25 ,0 ,18 ,0 ,0 ,0 ,17 ,106 ,2 ,759 ,99 ,"3,967 ","8,133 ",185 ,48 ,361 ,204 ,138 ,11 ,"9,838 ",431 ,30 ,83 ,2 ,11 ,93 ,506 ,20 ,0 ,3 ,"1,959 ","1,759 ",260 ,"2,170 ",2 ,29 ,"1,670 ",217 ,"2,878 ",594 ,"7,326 ","11,090 ","1,430 ",515 ,"3,628 ","938,883 ","1,836 ","85,096 ",151 ,"2,076 ",0 ,25 ,"9,220 ","16,739 ","1,962 ","1,820,148 ","376,208 ","94,033 ","14,919 ","7,820 ","14,883 ","12,289 ","466,122 ",42 ,"3,886 ","5,853 ",642 ,"30,209 ","8,495 ","17,995 ","21,803 ","5,535 ","25,353 ","880,164 ","193,603 ","7,686 ","6,633 ","1,209 ","7,402 ","18,927 ","49,395 ",735 ,"69,133 ","15,467 ","45,812 ","29,685 ","50,445 ","79,208 ","199,714 ","266,465 ","88,198 ","448,208 ","6,348 ","17,634 ","37,363 ","186,941 ","72,751 ","55,253 ","69,889 ","6,663 ","3,851 ","1,450,031 ","49,991 ","110,141 ","73,836 ","87,722 ","260,054 ","10,808 ","63,418 ","3,216 ","9,073,361 ","5,181,131 ",0 ,"3,063,705 ","238,063 ","61,189 ",0 ,"1,012,479 ","9,556,567 ","18,629,928 ","15,015,218 ","3,373,097 ","241,613 ","3,614,710 ",0 ,0 ," 18,629,928 ",,
439,기타 제조업제품,471 ,193 ,350 ,"1,631 ","2,476 ",250 ,"2,771 ","1,834 ",19 ,2 ,3 ,"1,939 ","1,542 ","1,687 ",39 ,18 ,387 ,824 ,"3,660 ",511 ,"1,049 ",473 ,"169,476 ","1,111 ","4,550 ",820 ,"7,022 ","351,518 ","10,646 ","3,526 ","8,282 ",86 ,"4,410 ","8,546 ","7,156 ",219 ,"13,630 ",302 ,646 ,928 ,"3,462 ",97 ,"1,237 ",145 ,859 ,"18,160 ",446 ,951 ,"9,667 ",160 ,999 ,"1,614 ",415 ,202 ,"2,127 ",874 ,12 ,"6,248 ",609 ,867 ,895 ,"3,111 ","1,041 ","5,834 ","5,676 ","4,578 ","14,233 ",289 ,556 ,700 ,960 ,805 ,"2,373 ",740 ,"5,175 ",676 ,757 ,"3,386 ",207 ,"1,416 ","1,722 ","5,662 ",374 ,"1,376 ","1,147 ",730 ,"5,785 ",597 ,"1,414 ",221 ,751 ,"1,419 ","1,596 ","2,173 ",34 ,"3,415 ",207 ,249 ,"9,213 ","1,514 ","2,922 ","516,351 ","62,166 ","5,655 ",311 ,"6,630 ",281 ,"99,182 ","20,540 ","2,339 ","43,406 ","11,549 ","2,561 ","1,213 ","2,649 ","3,029 ",204 ,"484,863 ",131 ,807 ,"1,385 ",155 ,"25,612 ","6,631 ","19,998 ","10,385 ","1,848 ","17,978 ","1,022,682 ","18,462 ","6,236 ","16,609 ","17,576 ","14,884 ","16,858 ","61,867 ",401 ,"43,222 ","15,140 ","34,183 ","38,391 ","7,723 ",0 ,"35,013 ","142,400 ","93,156 ","414,637 ","91,414 ","48,513 ","74,786 ","224,334 ","26,765 ","36,176 ","82,623 ","567,603 ","21,054 ","872,062 ","159,657 ","478,318 ","250,236 ","593,768 ","341,073 ","6,290 ","53,260 ","6,663 ","8,041,977 ","4,802,702 ",0 ,"950,329 ","47,755 ","32,813 ","1,810,436 ","2,287,319 ","9,931,354 ","17,973,331 ","11,443,332 ","6,018,096 ","511,903 ","6,529,999 ",0 ,0 ," 17,973,331 ",,
440,제조임가공 및 산업용 장비 수리,"16,402 ","10,321 ","1,977 ","59,756 ","114,155 ","5,412 ","98,043 ","3,309 ","19,390 ",63 ,"4,667 ","75,128 ","1,092,089 ","361,037 ","486,258 ","8,875 ","221,800 ","363,114 ","1,020,204 ","219,170 ","27,142 ","156,223 ","27,397 ","251,713 ","689,722 ","18,688 ","838,675 ","4,832,329 ","1,009,821 ","221,351 ","140,758 ","4,345 ","212,711 ","775,175 ","59,964 ","19,078 ","405,961 ","101,256 ","393,067 ","167,211 ","1,027,958 ","106,925 ","1,570,686 ","143,146 ","101,735 ","414,649 ","176,995 ","517,516 ","2,235,454 ","24,977 ","403,186 ","465,370 ","76,948 ","36,548 ","269,611 ","294,361 ","82,124 ","814,143 ","86,957 ","991,103 ","343,906 ","458,755 ","501,498 ","1,759,603 ","1,136,827 ","79,668 ","1,611,413 ","7,650,493 ","1,548,138 ","1,270,349 ","905,962 ","443,927 ","905,864 ","185,086 ","1,761,254 ","681,023 ","211,225 ","900,683 ","330,074 ","484,988 ","849,714 ","1,880,015 ","198,951 ","434,847 ","655,410 ","212,283 ","790,593 ","442,512 ","901,461 ","524,067 ","1,509,374 ","872,162 ","1,130,949 ","551,421 ","93,894 ","2,007,068 ","3,129,216 ","99,371 ","222,249 ","70,105 ","487,823 ","1,115,830 ","6,653,564 ","111,743 ","227,018 ","191,932 ","37,759 ","257,122 ","10,168 ","50,509 ","17,644 ","21,194 ","18,222 ","48,136 ","56,095 ","39,500 ","11,227 ","621,728 ",263 ,"12,116 ","2,205 ",41 ,"40,562 ","15,028 ","13,591 ","13,004 ","3,117 ","7,044 ","103,751 ","1,070 ","50,189 ","8,045 ","2,738 ","4,955 ","110,706 ","25,603 ",489 ,"10,008 ","14,354 ","20,161 ","10,024 ","13,718 ",0 ,"46,324 ","19,677 ","104,805 ","138,472 ",748 ,"12,861 ","41,658 ","715,211 ","23,060 ","101,139 ","47,305 ","297,787 ","2,606 ","277,096 ","1,044,467 ","244,341 ","86,565 ","25,267 ","46,297 ","2,671 ","9,078 ","1,467 ","77,869,445 ","27,252 ",0 ,0 ,0 ,0 ,0 ,"3,546,024 ","3,573,276 ","81,442,721 ","71,298,513 ","10,144,208 ",0 ,"10,144,208 ",0 ,0 ," 81,442,721 ",,
450,전력 및 신재생에너지,"111,466 ","233,927 ","66,196 ","167,673 ","209,591 ","52,389 ","150,078 ","31,209 ","19,189 ",331 ,"2,372 ","170,811 ","199,985 ","54,959 ","84,557 ","74,087 ","289,657 ","142,020 ","274,465 ","95,622 ","43,955 ","66,326 ","18,683 ","86,696 ","191,821 ","15,128 ","176,047 ","129,414 ","40,903 ","107,954 ","65,524 ","8,645 ","727,457 ","266,030 ","232,644 ","36,930 ","1,228,106 ","54,007 ","1,812,477 ","1,414,112 ","1,354,322 ","269,958 ","216,072 ","64,872 ","42,621 ","477,830 ","248,585 ","353,675 ","468,833 ","157,526 ","82,726 ","391,747 ","112,324 ","522,542 ","86,317 ","193,736 ","517,277 ","3,184,581 ","597,513 ","522,134 ","781,107 ","332,505 ","240,999 ","507,682 ","414,029 ","1,448,765 ","440,912 ","3,571,337 ","1,200,315 ","583,260 ","352,365 ","9,090 ","219,747 ","28,457 ","156,529 ","31,224 ","135,034 ","333,066 ","368,177 ","79,788 ","76,614 ","182,892 ","49,114 ","85,119 ","152,618 ","57,983 ","134,286 ","215,766 ","128,102 ","61,896 ","293,875 ","131,457 ","143,989 ","359,923 ","44,268 ","882,879 ","390,626 ","8,890 ","29,406 ","5,470 ","55,234 ","29,885 ","188,060 ","306,296 ","25,329 ","152,776 ","289,904 ","115,352 ","109,800 ","125,005 ","104,801 ","118,059 ","10,370 ","54,754 ","85,377 ","69,616 ","27,120 ","2,416,526 ","621,423 ","143,528 ","81,339 ","14,140 ","81,627 ","29,544 ","316,998 ","445,606 ","42,863 ","54,090 ","597,361 ","172,187 ","426,102 ","32,257 ","95,407 ","78,128 ","94,629 ","31,088 ","41,682 ","44,681 ","176,681 ","81,284 ","335,082 ","49,702 ","453,445 ","729,231 ","219,794 ","1,038,663 ","2,676,679 ","21,571 ","32,978 ","85,980 ","90,471 ","33,601 ","48,078 ","104,528 ","744,954 ","19,558 ","2,024,006 ","824,083 ","282,777 ","184,657 ","410,660 ","104,698 ","70,783 ","217,818 ","1,789 ","52,480,690 ","9,433,519 ",0 ,0 ,0 ,0 ,0 ,"105,695 ","9,539,214 ","62,019,904 ","61,878,601 ","141,303 ",0 ,"141,303 ",0 ,0 ," 62,019,904 ",,
