부속표_취업자수 및 피용자수,,,,,
전업환산 기준(상품),,,,,
,,,,,
단위 : 명,,,,,
,,2015년,,2020년,
상품,,취업자수,피용자수,취업자수,피용자수
659,기타 금융중개기관,"67,777 ","63,891 ","60,714 ","56,405 "
660,보험서비스,"266,051 ","253,212 ","219,451 ","214,014 "
670,금융 및 보험 보조 서비스,"136,584 ","123,359 ","153,228 ","144,131 "
680,주거서비스,"6,017 ","1,877 ","4,951 ","2,140 "
691,비주거용 건물 임대 및 부동산 공급,"163,701 ","82,215 ","185,873 ","97,674 "
692,부동산 관련 서비스,"329,947 ","225,497 ","363,908 ","257,251 "
700,연구개발,"588,354 ","568,658 ","662,858 ","640,380 "
711,법무 및 경영지원 서비스,"371,959 ","330,958 ","370,069 ","329,298 "
712,광고,"63,597 ","48,430 ","74,717 ","55,700 "
721,건축·토목 관련 서비스,"134,249 ","117,762 ","155,566 ","134,596 "
729,기타 과학기술 및 전문 서비스,"261,305 ","186,956 ","281,961 ","199,889 "
730,장비·용품 및 지식재산권 임대,"97,800 ","69,219 ","114,434 ","88,550 "
741,사업시설 유지관리 및 조경서비스,"202,615 ","183,586 ","256,342 ","229,220 "
742,인력공급 및 알선,"637,699 ","619,129 ","549,849 ","533,519 "
749,기타 사업지원서비스,"255,615 ","236,102 ","278,235 ","263,094 "
751,공공행정 및 국방,"1,499,308 ","1,499,308 ","1,498,146 ","1,498,146 "
752,사회보험서비스,"27,392 ","27,392 ","37,033 ","37,033 "
760,교육서비스,"1,512,086 ","1,172,102 ","1,406,970 ","1,130,447 "
770,의료 및 보건,"880,563 ","830,578 ","1,019,499 ","969,672 "
780,사회복지서비스,"676,405 ","626,816 ","813,027 ","776,489 "
790,문화 및 여행 관련 서비스,"180,815 ","126,144 ","171,878 ","106,854 "
800,스포츠 및 오락 서비스,"254,572 ","155,474 ","258,102 ","158,015 "
810,사회단체,"220,725 ","210,844 ","210,400 ","199,241 "
821,자동차 및 소비용품 수리서비스,"303,053 ","171,863 ","311,486 ","170,454 "
822,개인서비스,"672,134 ","325,928 ","611,144 ","265,974 "
830,기타,0 ,0 ,0 ,0 
,계,"24,832,131 ","18,274,143 ","24,436,652 ","18,176,224 "
,,,,,
" 주 : 1) 취업자 : 임금근로자, 자영업자, 무급가족종사자를 모두 합한 인원",,,,,
      2) 피용자 : 임금근로자 인원,,,,,
      3) 전업환산기준 취업자수 및 피용자수 : 시간제 근로자의 근무시간을 전일제 근로자의 근무시간으로 환산한 취업자수 및 피용자수,,,,,
