순취득",수출,최종수요계,총수요계,,
384,산업용 운반기계,90 ,0 ,0 ,0 ,0 ,0 ,68 ,144 ,154 ,0 ,12 ,"1,957 ",239 ,"1,364 ",0 ,0 ,110 ,13 ,"1,655 ",53 ,26 ,14 ,0 ,11 ,0 ,175 ,10 ,83 ,0 ,770 ,247 ,0 ,240 ,168 ,7 ,113 ,"3,022 ",0 ,"2,612 ",12 ,"1,472 ",367 ,85 ,84 ,375 ,50 ,131 ,183 ,"1,397 ",1 ,5 ,289 ,86 ,411 ,"7,243 ","1,018 ",43 ,"1,835 ",34 ,53 ,314 ,702 ,362 ,"4,010 ","3,514 ","1,184 ","1,827 ",242 ,21 ,3 ,46 ,6 ,9 ,5 ,72 ,3 ,73 ,78 ,5 ,22 ,129 ,40 ,28 ,181 ,540 ,"1,607,693 ",134 ,263 ,131 ,142 ,326 ,"22,740 ","2,127 ","1,086 ",213 ,296 ,"18,740 ",20 ,33 ,55 ,318 ,0 ,"138,688 ","5,521 ",374 ,"2,912 ",0 ,"6,028 ","4,088 ",371 ,"1,259,444 ","822,950 ","112,326 ","80,778 ","7,807 ","82,081 ","11,179 ","72,033 ",0 ,215 ,881 ,3 ,"10,381 ","96,991 ","51,235 ",131 ,23 ,"5,521 ","1,810 ","1,026 ",89 ,4 ,0 ,0 ,0 ,0 ,86 ,355 ,160 ,891 ,85 ,"1,086 ",0 ,"4,698 ","12,375 ","11,295 ","3,255 ",0 ,0 ,"1,137 ","2,348 ",771 ,405 ,"1,871 ","191,988 ","3,068 ","61,051 ","45,414 ","24,666 ","25,750 ",669 ,0 ,349 ,0 ,32 ,"4,864,959 ",0 ,0 ,"3,088,058 ","20,196 ","-21,741 ",0 ,"3,230,733 ","6,317,246 ","11,182,205 ",,
385,공기 및 액체 조절장치,0 ,2 ,0 ,221 ,"2,600 ",88 ,"6,073 ",122 ,38 ,2 ,0 ,810 ,"31,033 ","1,619 ",0 ,399 ,"6,768 ","3,890 ","45,302 ",61 ,666 ,"11,041 ",52 ,74 ,196 ,465 ,"1,329 ",532 ,123 ,56 ,635 ,52 ,546 ,"2,862 ",685 ,894 ,"177,531 ","16,999 ","45,586 ","2,318 ","50,203 ","1,829 ","10,136 ",231 ,105 ,"5,507 ",731 ,"1,227 ","9,060 ",3 ,66 ,"1,112 ",719 ,311 ,"3,427 ","2,696 ",301 ,"7,862 ",395 ,"1,144 ",290 ,"2,189 ","2,095 ","24,806 ","8,179 ","1,028 ","11,266 ","7,473 ",328 ,26 ,"1,210 ",110 ,34 ,20 ,"2,924 ",1 ,189 ,445 ,1 ,449 ,"351,582 ","4,038 ","3,500 ","3,395 ","1,782 ","48,232 ","3,886,312 ","14,883 ","5,142 ","4,560 ",818 ,"21,108 ","10,939 ","1,592,422 ","75,496 ","9,588 ","1,363 ","5,658 ","6,068 ",580 ,"2,367 ",721 ,"68,304 ","3,675 ","8,813 ","6,963 ","26,746 ","65,333 ","32,664 ","1,829 ","501,183 ","1,148,198 ","124,592 ","91,815 ","236,013 ","307,445 ","84,830 ","282,057 ",26 ,"2,654 ","1,256 ",7 ,"8,886 ",638 ,"9,030 ","1,601 ",165 ,"12,878 ","112,895 ","13,686 ","2,425 ",871 ,133 ,"2,063 ","1,421 ","11,339 ",84 ,"6,619 ","2,043 ","2,866 ","2,407 ",833 ,"19,827 ","32,250 ","34,732 ","16,483 ","6,878 ",464 ,187 ,"34,682 ","17,180 ","9,127 ","11,809 ","44,392 ","64,888 ","1,333 ","115,240 ","21,806 ","35,112 ","13,038 ","5,784 ","13,937 ","40,438 ","6,746 ","3,178 ","10,309,149 ","1,676,716 ",0 ,"4,872,909 ","150,663 ","30,048 ",0 ,"5,832,873 ","12,563,209 ","22,872,358 ",,
389,기타 일반목적용 기계,0 ,0 ,3 ,2 ,78 ,467 ,129 ,548 ,39 ,0 ,0 ,350 ,755 ,"1,824 ",465 ,34 ,606 ,96 ,"3,958 ",17 ,11 ,"1,405 ",811 ,110 ,838 ,163 ,151 ,64 ,5 ,208 ,121 ,2 ,251 ,"1,814 ",457 ,389 ,"100,013 ","3,681 ","2,802 ","9,247 ","1,101 ",812 ,50 ,189 ,"1,581 ",493 ,922 ,"3,036 ","6,133 ",2 ,76 ,"1,845 ","2,668 ",202 ,584 ,"1,493 ",256 ,"2,046 ",572 ,"5,852 ",706 ,"1,527 ",111 ,"20,508 ","5,102 ","12,951 ","42,458 ","1,480 ",791 ,8 ,25 ,116 ,66 ,14 ,"2,840 ",5 ,30 ,"5,599 ",1 ,30 ,13 ,41 ,915 ,"5,377 ",823 ,"4,138 ","47,397 ","1,065,604 ",522 ,113 ,"2,534 ","8,232 ","1,304 ",5 ,1 ,250 ,44 ,1 ,2 ,10 ,"1,718 ",328 ,"58,628 ","7,702 ","153,181 ",22 ,"37,169 ","17,156 ","8,062 ",815 ,"165,562 ","145,355 ","63,939 ","3,314 ","5,499 ","94,193 ","8,156 ","43,848 ",2 ,460 ,"6,002 ",9 ,"7,426 ",875 ,"1,079 ","8,864 ",120 ,99 ,"31,198 ","5,855 ","1,472 ",793 ,167 ,"2,949 ","10,817 ","17,969 ",5 ,953 ,"1,596 ","8,495 ","3,297 ","2,524 ",0 ,166 ,"31,051 ","12,832 ","80,420 ",359 ,898 ,"77,283 ","4,862 ","18,036 ","13,968 ","26,431 ","58,115 ","1,637 ","52,639 ","22,063 ","46,672 ","9,739 ","1,842 ","1,987 ","12,091 ",224 ,"1,825 ","2,796,334 ","107,650 ",0 ,"3,600,665 ","365,712 ","49,678 ",0 ,"5,160,390 ","9,284,095 ","12,080,429 ",,
391,농업 및 건설용 기계,"27,427 ","7,990 ","2,765 ","2,607 ","17,345 ","3,131 ",27 ,"4,699 ",282 ,"1,406 ",978 ,"52,184 ",0 ,27 ,0 ,0 ,0 ,1 ,641 ,337 ,0 ,75 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45 ,0 ,"3,590 ",0 ,0 ,0 ,116 ,0 ,0 ,0 ,120 ,0 ,0 ,49 ,0 ,827 ,0 ,0 ,415 ,"4,005 ","5,879 ","24,484 ","17,210 ","1,771 ","8,059 ",218 ,611 ,407 ,235 ,131 ,"1,762 ",150 ,191 ,411 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,238 ,461 ,231 ,"2,016 ","1,076 ",70 ,"1,708,697 ",12 ,125 ,324 ,291 ,0 ,977 ,0 ,87 ,0 ,0 ,346 ,216 ,1 ,"20,171 ",0 ,0 ,0 ,359 ,"15,641 ","3,636 ",563 ,"1,015 ","2,105 ","2,569 ","6,015 ","15,377 ","6,511 ",591 ,"6,837 ",0 ,0 ,0 ,0 ,0 ,"2,783 ",0 ,0 ,0 ,0 ,0 ,206 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"22,852 ",0 ,0 ,0 ,"1,206 ","44,775 ","1,143 ",107 ,639 ,"15,998 ",1 ,24 ,12 ,36 ,485 ,"7,361 ",0 ,63 ,219 ,41 ,"2,087,131 ",0 ,0 ,"4,460,078 ","305,882 ","-53,829 ",0 ,"6,116,812 ","10,828,943 ","12,916,074 ",,
392,금속가공용 기계,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,72 ,18 ,0 ,2 ,0 ,8 ,12 ,55 ,0 ,34 ,3 ,118 ,4 ,0 ,21 ,1 ,0 ,14 ,91 ,363 ,1 ,96 ,59 ,6 ,3 ,79 ,"1,047 ",415 ,"1,835 ",167 ,"4,290 ","2,409 ","2,500 ",571 ,"1,015 ","3,902 ","5,647 ","12,325 ",487 ,22 ,10 ,327 ,78 ,183 ,63 ,173 ,40 ,481 ,"1,773 ",69 ,494 ,403 ,267 ,902 ,281 ,"3,068 ",687 ,901 ,618 ,722 ,"555,045 ","4,016 ","2,354 ","2,205 ",394 ,110 ,466 ,59 ,132 ,98 ,118 ,402 ,198 ,"19,628 ",525 ,0 ,0 ,0 ,127 ,623 ,593 ,407 ,162 ,57 ,261 ,240 ,167 ,43 ,0 ,2 ,0 ,198 ,2 ,690 ,"1,054 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,179 ",0 ,0 ,0 ,41 ,471 ,0 ,0 ,0 ,65 ,0 ,193 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,"642,575 ",0 ,0 ,"3,881,632 ","2,356 ","1,517 ",0 ,"2,422,684 ","6,308,189 ","6,950,764 ",,
393,금형 및 주형,0 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,17 ,31 ,10 ,140 ,0 ,4 ,20 ,0 ,2 ,0 ,0 ,0 ,3 ,136 ,0 ,0 ,0 ,0 ,3 ,162 ,0 ,0 ,0 ,6 ,1 ,0 ,0 ,13 ,4 ,10 ,438 ,8 ,"2,267 ","51,089 ",370 ,"7,026 ","1,525 ",533 ,8 ,900 ,62 ,69 ,"1,563 ",146 ,9 ,130 ,"1,908 ","2,370 ","5,295 ","4,556 ","3,318 ","37,806 ","1,342 ",133 ,63 ,182 ,403 ,"8,127 ",73 ,616 ,93 ,838 ,"4,012 ",113 ,242 ,"1,165 ","2,436 ","6,077 ","3,137 ","11,780 ","1,911 ","3,993 ","1,795 ","1,292 ","3,001 ","883,642 ","3,648 ","7,165 ",858 ,86 ,"2,916 ",100 ,121 ,59 ,506 ,308 ,365 ,"1,647 ",0 ,0 ,0 ,0 ,0 ,0 ,35 ,5 ,29 ,0 ,76 ,23 ,11 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,300 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75 ,0 ,0 ,"1,076,808 ",0 ,0 ,"9,792,700 ",0 ,"-20,615 ",0 ,"3,351,008 ","13,123,093 ","14,199,901 ",,
394,반도체 및 디스플레이 제조용 기계,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,397,636 ","10,068 ",0 ,"1,440 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,797,716 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,821 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"627,091 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,"4,839,773 ",0 ,0 ,"11,502,917 ",0 ,"158,612 ",0 ,"9,833,497 ","21,495,026 ","26,334,799 ",,
399,기타 특수목적용기계,0 ,0 ,0 ,0 ,0 ,304 ,163 ,361 ,1 ,0 ,0 ,226 ,"24,644 ","2,954 ","5,054 ","4,020 ","6,059 ","5,017 ","26,546 ","1,600 ","2,748 ","3,257 ",31 ,28 ,61 ,9 ,250 ,226 ,26 ,"2,259 ",770 ,87 ,"1,513 ","2,617 ",642 ,41 ,"18,652 ",169 ,"1,982 ","1,308 ","2,330 ",306 ,"1,839 ",534 ,391 ,901 ,620 ,"1,295 ","4,169 ",101 ,883 ,"1,631 ",365 ,205 ,"1,200 ",461 ,12 ,"1,305 ",55 ,77 ,"1,292 ",694 ,34 ,"5,617 ",269 ,"5,603 ","8,321 ","11,981 ",427 ,111 ,340 ,5 ,314 ,316 ,"1,591 ","1,420 ",560 ,"2,889 ",64 ,"2,224 ",332 ,"3,452 ",768 ,543 ,310 ,"1,467 ","3,526 ","1,183 ",669 ,"188,839 ","3,117 ","7,522 ","1,059,073 ","5,283 ",119 ,"1,658 ",635 ,883 ,492 ,"6,382 ","1,585 ",606 ,"27,042 ",0 ,0 ,0 ,0 ,480 ,8 ,9 ,568 ,322 ,118 ,93 ,22 ,771 ,66 ,"6,801 ",0 ,0 ,0 ,25 ,0 ,0 ,0 ,0 ,15 ,14 ,"39,256 ",0 ,0 ,0 ,0 ,0 ,35 ,33 ,63 ,47 ,46 ,298 ,8 ,0 ,0 ,0 ,0 ,"53,355 ",0 ,10 ,0 ,"9,905 ","9,894 ","4,227 ",0 ,"11,385 ","20,557 ",153 ,"10,307 ","1,273 ","2,118 ",926 ,"2,194 ",235 ,186 ,29 ,68 ,"1,667,783 ","22,339 ",0 ,"5,206,781 ","88,187 ","-35,089 ",0 ,"7,524,499 ","12,806,717 ","14,474,500 ",,
401,자동차 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"176,022 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"77,932 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"253,954 ","27,038,066 ",0 ,"18,440,159 ","1,437,303 ","105,280 ",0 ,"46,315,402 ","93,336,210 ","93,590,164 ",,
402,특장차 및 트레일러,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"62,254 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,932 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"69,186 ",0 ,0 ,"546,458 ","1,742,939 ","-3,652 ",0 ,"336,837 ","2,622,582 ","2,691,768 ",,
403,자동차 부품,"4,079 ","3,892 ","2,133 ","2,217 ","13,524 ","17,684 ","8,277 ","3,980 ",598 ,136 ,75 ,"30,328 ","6,095 ","3,155 ",636 ,"3,814 ","1,046 ","2,008 ","5,654 ",776 ,"1,281 ",877 ,901 ,814 ,"1,367 ","2,598 ","1,020 ","3,094 ","1,644 ","10,555 ","4,700 ","1,866 ","11,066 ","11,039 ","19,389 ",894 ,"137,314 ","9,111 ","3,633 ","8,085 ","31,796 ","1,109 ","13,363 ","1,874 ","6,869 ","50,963 ","5,070 ","14,567 ","101,003 ",237 ,"6,841 ","5,175 ","4,128 ","5,762 ","121,531 ","22,625 ",259 ,"74,156 ","3,837 ","1,838 ","3,847 ","25,117 ","4,531 ","39,100 ","33,440 ","24,464 ","103,011 ","2,823 ",541 ,87 ,219 ,157 ,35 ,377 ,"1,379 ",399 ,"8,589 ","11,054 ",170 ,"9,013 ","2,584 ","3,409 ","6,785 ","3,356 ","5,160 ","122,149 ","8,157 ","3,667 ","276,901 ","2,662 ","3,246 ","4,762 ","28,164 ","31,872,802 ","304,360 ","26,960,572 ",150 ,172 ,94 ,"114,221 ","6,813 ","4,749 ","2,386,213 ","12,005 ","3,610 ","6,962 ","6,739 ","227,001 ","225,786 ","7,991 ","3,568 ","4,453 ","8,427 ","4,429 ","6,310 ","1,406 ",516 ,"661,079 ",185 ,"3,240,894 ","1,844 ",642 ,"466,828 ","260,309 ","114,062 ","180,389 ","6,419 ","690,395 ","65,484 ","11,581 ","5,026 ","2,922 ","1,799 ","2,955 ","20,984 ","28,918 ","2,124 ","35,605 ","6,191 ","6,366 ","4,669 ","5,272 ",0 ,"13,066 ","29,539 ","296,696 ","95,775 ","1,302 ","1,681 ","40,807 ","415,679 ","35,781 ","16,401 ","26,902 ","363,092 ","12,199 ","129,632 ","94,617 ","60,403 ","22,939 ","35,836 ","97,554 ","6,771,796 ","20,888 ","1,563 ","78,130,152 ","482,509 ",0 ,0 ,0 ,"506,335 ",0 ,"18,304,970 ","19,293,814 ","97,423,966 ",,
410,선박,0 ,0 ,0 ,0 ,0 ,0 ,"78,600 ",0 ,0 ,0 ,0 ,"41,014 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,470,955 ",0 ,0 ,0 ,0 ,0 ,"7,925 ",3 ,0 ,0 ,0 ,246 ,316 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"201,859 ",0 ,"12,413 ","2,123 ",0 ,31 ,0 ,0 ,0 ,0 ,21 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"289,793 ",0 ,0 ,0 ,41 ,"53,573 ",0 ,0 ,21 ,"163,818 ",0 ,583 ,"2,523 ",0 ,"2,242 ",35 ,0 ,0 ,0 ,120 ,"3,328,270 ",0 ,0 ,"979,480 ","3,268,497 ","-131,998 ",0 ,"26,377,805 ","30,493,784 ","33,822,054 ",,
421,철도차량,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"24,921 ",0 ,"4,699 ",302 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,146 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"492,744 ",0 ,0 ,0 ,0 ,"17,638 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,104 ,0 ,0 ,0 ,0 ,"177,291 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"18,408 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,246 ",0 ,324 ,156 ,0 ,863 ,0 ,0 ,0 ,0 ,28 ,"750,877 ",0 ,0 ,"1,586,190 ",0 ,"38,796 ",0 ,"630,996 ","2,255,982 ","3,006,859 ",,
422,항공기,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,98 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"23,354 ",17 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,169 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32 ,7 ,0 ,0 ,22 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,53 ,0 ,"689,540 ",0 ,0 ,0 ,"2,572 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"11,195 ",0 ,0 ,0 ,"507,175 ","84,961 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"63,577 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"885,137 ",0 ,273 ,"9,479 ",0 ,"1,053 ",0 ,0 ,0 ,0 ,"1,547 ","2,280,339 ",0 ,0 ,"40,481 ","1,606,789 ","88,282 ",0 ,"1,376,316 ","3,111,868 ","5,392,207 ",,
429,기타 운송장비,"6,253 ","1,418 ","2,458 ",669 ,"14,348 ",882 ,345 ,"1,801 ","1,754 ",0 ,3 ,714 ,300 ,221 ,0 ,5 ,316 ,157 ,141 ,85 ,717 ,10 ,0 ,350 ,133 ,10 ,45 ,61 ,241 ,"8,994 ","2,959 ",88 ,"4,114 ","2,226 ",797 ,28 ,"63,760 ",555 ,"2,279 ","1,321 ","5,665 ",236 ,838 ,"1,657 ",850 ,"2,445 ",927 ,"4,479 ","6,467 ",287 ,"2,988 ","6,986 ",668 ,911 ,"5,004 ","12,478 ",317 ,"5,259 ",932 ,450 ,"3,618 ","1,891 ","2,081 ","6,116 ","1,424 ","10,665 ","7,570 ",217 ,254 ,99 ,243 ,17 ,120 ,103 ,575 ,98 ,756 ,"5,455 ",70 ,38 ,746 ,"4,269 ",605 ,876 ,"4,428 ",854 ,"2,355 ","2,294 ","1,276 ",487 ,"1,670 ","12,232 ","2,684 ",392 ,723 ,193 ,176 ,765 ,269 ,"13,792 ","2,238 ","2,292 ","85,792 ","2,418 ",384 ,"61,571 ",650 ,"16,762 ","24,126 ","1,905 ",76 ,"1,097 ","1,677 ",654 ,199 ,529 ,106 ,"17,253 ",15 ,594 ,803 ,8 ,"6,649 ","2,487 ","9,380 ","1,673 ","2,334 ","16,318 ","50,229 ",380 ,"2,275 ",876 ,37 ,117 ,500 ,"4,415 ",23 ,909 ,16 ,5 ,3 ,3 ,0 ,320 ,0 ,"59,126 ",0 ,0 ,4 ,"4,606 ","21,930 ","22,658 ",0 ,"10,770 ","1,605 ",992 ,"11,280 ","16,098 ","19,189 ","2,016 ","14,042 ","7,482 ","2,749 ",379 ,158 ,"788,080 ","254,007 ",0 ,"33,844 ","921,842 ","-8,418 ",0 ,"285,733 ","1,487,008 ","2,275,088 ",,
431,가구,0 ,0 ,0 ,0 ,0 ,12 ,210 ,"1,926 ",0 ,0 ,0 ,14 ,16 ,88 ,0 ,0 ,20 ,105 ,845 ,29 ,4 ,11 ,0 ,0 ,367 ,0 ,7 ,273 ,1 ,5 ,242 ,0 ,8 ,18 ,0 ,0 ,117 ,0 ,15 ,12 ,68 ,3 ,0 ,0 ,11 ,26 ,21 ,23 ,"1,623 ",0 ,0 ,197 ,2 ,199 ,4 ,25 ,0 ,18 ,0 ,0 ,0 ,17 ,106 ,2 ,759 ,99 ,"3,967 ","6,322 ",41 ,40 ,361 ,204 ,138 ,11 ,"5,728 ",431 ,30 ,83 ,2 ,11 ,84 ,506 ,20 ,0 ,3 ,"1,959 ","1,533 ",260 ,"2,147 ",2 ,29 ,"1,670 ",217 ,"1,717 ",588 ,369 ,873 ,520 ,180 ,"3,628 ","450,621 ","1,822 ","80,038 ",151 ,"2,031 ",0 ,25 ,"9,220 ","16,738 ","1,619 ","1,719,227 ","343,912 ","91,235 ","14,919 ","7,820 ","14,707 ","12,286 ","433,586 ",42 ,"3,038 ","5,789 ",79 ,"29,261 ","8,291 ","15,848 ","19,520 ","5,535 ","24,138 ","869,966 ","193,304 ","7,610 ","6,633 ","1,209 ","6,939 ","17,366 ","49,248 ",735 ,"68,765 ","14,447 ","41,847 ","23,717 ","47,234 ","78,552 ","196,921 ","266,251 ","76,868 ","446,523 ","6,023 ","16,910 ","34,352 ","186,756 ","72,369 ","55,189 ","69,465 ","5,417 ","3,851 ","1,313,942 ","44,826 ","107,961 ","73,076 ","70,697 ","259,005 ","6,688 ","61,175 ","3,216 ","8,157,773 ","3,281,466 ",0 ,"2,321,122 ","174,402 ","67,976 ",0 ,"1,012,479 ","6,857,445 ","15,015,218 ",,
